Name,Count
Liam,"20,802"
Noah,"18,995"
Oliver,"14,741"
James,"11,670"
Elijah,"11,452"
Mateo,"11,229"
Theodore,"11,041"
Henry,"10,941"
Lucas,"10,842"
William,"10,598"
Benjamin,"10,172"
Levi,"9,347"
Sebastian,"8,865"
Jack,"8,683"
Ezra,"8,437"
Michael,"8,383"
Daniel,"8,356"
Leo,"8,120"
Owen,"7,985"
Samuel,"7,973"
Hudson,"7,935"
Alexander,"7,875"
Asher,"7,853"
Luca,"7,770"
Ethan,"7,763"
John,"7,750"
David,"7,354"
Jackson,"7,284"
Joseph,"7,237"
Mason,"7,237"
Luke,"7,217"
Matthew,"7,190"
Julian,"7,078"
Dylan,"7,054"
Elias,"6,980"
Jacob,"6,976"
Maverick,"6,962"
Gabriel,"6,745"
Logan,"6,686"
Aiden,"6,675"
Thomas,"6,598"
Isaac,"6,581"
Miles,"6,558"
Grayson,"6,449"
Santiago,"6,328"
Anthony,"6,237"
Wyatt,"6,237"
Carter,"5,847"
Jayden,"5,627"
Ezekiel,"5,569"
Caleb,"5,488"
Cooper,"5,425"
Josiah,"5,404"
Charles,"5,395"
Christopher,"5,171"
Isaiah,"5,121"
Nolan,"5,112"
Cameron,"5,069"
Nathan,"5,049"
Joshua,"5,035"
Kai,"4,946"
Waylon,"4,881"
Angel,"4,865"
Lincoln,"4,842"
Andrew,"4,781"
Roman,"4,777"
Adrian,"4,646"
Aaron,"4,551"
Wesley,"4,539"
Ian,"4,538"
Thiago,"4,505"
Axel,"4,498"
Brooks,"4,469"
Bennett,"4,411"
Weston,"4,356"
Rowan,"4,195"
Christian,"4,125"
Theo,"4,122"
Beau,"4,090"
Eli,"4,081"
Silas,"4,070"
Jonathan,"4,066"
Ryan,"4,020"
Leonardo,"4,012"
Walker,"4,006"
Jaxon,"3,918"
Micah,"3,875"
Everett,"3,808"
Robert,"3,807"
Enzo,"3,796"
Parker,"3,792"
Jeremiah,"3,750"
Jose,"3,704"
Colton,"3,696"
Luka,"3,650"
Easton,"3,637"
Landon,"3,637"
Jordan,"3,632"
Amir,"3,620"
Gael,"3,616"
Austin,"3,475"
Adam,"3,474"
Jameson,"3,471"
August,"3,439"
Xavier,"3,413"
Myles,"3,399"
Dominic,"3,395"
Damian,"3,281"
Nicholas,"3,242"
Jace,"3,203"
Carson,"3,200"
Atlas,"3,197"
Adriel,"3,185"
Kayden,"3,120"
Hunter,"3,110"
River,"3,084"
Greyson,"3,065"
Emmett,"3,061"
Harrison,"3,060"
Vincent,"2,982"
Milo,"2,950"
Jasper,"2,933"
Giovanni,"2,911"
Jonah,"2,874"
Zion,"2,867"
Connor,"2,855"
Sawyer,"2,833"
Arthur,"2,823"
Ryder,"2,822"
Archer,"2,819"
Lorenzo,"2,810"
Declan,"2,799"
Emiliano,"2,778"
Luis,"2,760"
Diego,"2,734"
George,"2,689"
Evan,"2,581"
Jaxson,"2,556"
Carlos,"2,546"
Graham,"2,533"
Juan,"2,526"
Kingston,"2,511"
Nathaniel,"2,507"
Matteo,"2,503"
Legend,"2,492"
Malachi,"2,466"
Jason,"2,456"
Leon,"2,447"
Dawson,"2,439"
Bryson,"2,434"
Amari,"2,410"
Calvin,"2,403"
Ivan,"2,384"
Chase,"2,378"
Cole,"2,359"
Ashton,"2,330"
Ace,"2,314"
Arlo,"2,297"
Dean,"2,281"
Brayden,"2,274"
Jude,"2,258"
Hayden,"2,219"
Max,"2,197"
Matias,"2,191"
Rhett,"2,183"
Jayce,"2,166"
Elliott,"2,160"
Alan,"2,159"
Braxton,"2,128"
Kaiden,"2,126"
Zachary,"2,112"
Jesus,"2,102"
Emmanuel,"2,100"
Adonis,"2,093"
Charlie,"2,091"
Judah,"2,079"
Tyler,"2,064"
Elliot,"2,060"
Antonio,"2,018"
Emilio,"2,012"
Camden,"2,009"
Stetson,"1,987"
Maxwell,"1,983"
Ryker,"1,976"
Justin,"1,925"
Kevin,"1,914"
Messiah,"1,909"
Finn,"1,907"
Bentley,"1,906"
Ayden,"1,904"
Zayden,"1,898"
Felix,"1,894"
Nicolas,"1,886"
Miguel,"1,883"
Maddox,"1,878"
Beckett,"1,865"
Tate,"1,845"
Caden,"1,835"
Beckham,"1,829"
Andres,"1,827"
Alejandro,"1,825"
Alex,"1,806"
Jesse,"1,804"
Brody,"1,803"
Tucker,"1,802"
Jett,"1,781"
Barrett,"1,780"
Knox,"1,770"
Hayes,"1,746"
Peter,"1,738"
Timothy,"1,733"
Joel,"1,728"
Edward,"1,723"
Griffin,"1,722"
Xander,"1,700"
Oscar,"1,693"
Victor,"1,687"
Abraham,"1,681"
Brandon,"1,654"
Abel,"1,648"
Richard,"1,638"
Callum,"1,636"
Riley,"1,627"
Patrick,"1,596"
Karter,"1,590"
Malakai,"1,568"
Eric,"1,541"
Grant,"1,539"
Israel,"1,530"
Milan,"1,516"
Gavin,"1,512"
Rafael,"1,508"
Tatum,"1,492"
Kairo,"1,484"
Elian,"1,483"
Kyrie,"1,474"
Louis,"1,474"
Lukas,"1,472"
Javier,"1,462"
Nico,"1,462"
Avery,"1,456"
Rory,"1,442"
Aziel,"1,428"
Ismael,"1,421"
Jeremy,"1,413"
Zayn,"1,413"
Cohen,"1,404"
Simon,"1,398"
Marcus,"1,394"
Steven,"1,387"
Mark,"1,386"
Dallas,"1,375"
Tristan,"1,373"
Lane,"1,371"
Blake,"1,366"
Paul,"1,351"
Paxton,"1,351"
Bryce,"1,346"
Nash,"1,328"
Crew,"1,316"
Kash,"1,316"
Kenneth,"1,314"
Omar,"1,306"
Colt,"1,298"
Lennox,"1,281"
King,"1,276"
Walter,"1,272"
Emerson,"1,258"
Phoenix,"1,243"
Jaylen,"1,240"
Derek,"1,238"
Muhammad,"1,237"
Ellis,"1,228"
Kaleb,"1,228"
Preston,"1,228"
Jorge,"1,221"
Zane,"1,220"
Kayson,"1,217"
Cade,"1,214"
Tobias,"1,213"
Otto,"1,191"
Kaden,"1,188"
Remington,"1,184"
Atticus,"1,181"
Finley,"1,171"
Holden,"1,171"
Jax,"1,155"
Cash,"1,147"
Martin,"1,147"
Ronan,"1,145"
Maximiliano,"1,143"
Malcolm,"1,128"
Romeo,"1,123"
Josue,"1,122"
Francisco,"1,121"
Bodhi,"1,117"
Cyrus,"1,117"
Koa,"1,115"
Angelo,"1,114"
Aidan,"1,111"
Jensen,"1,108"
Erick,"1,104"
Hendrix,"1,084"
Warren,"1,080"
Bryan,"1,079"
Cody,"1,078"
Leonel,"1,070"
Onyx,"1,069"
Ali,"1,065"
Andre,"1,063"
Jaziel,"1,063"
Clayton,"1,062"
Saint,"1,059"
Dante,"1,058"
Reid,"1,058"
Casey,"1,050"
Brian,"1,044"
Gideon,"1,034"
Niko,"1,033"
Maximus,"1,032"
Colter,"1,031"
Kyler,"1,031"
Brady,"1,030"
Zyaire,"1,029"
Cristian,"1,024"
Cayden,"1,022"
Harvey,"1,022"
Cruz,"1,012"
Dakota,"1,009"
Damien,"1,009"
Manuel,"1,006"
Anderson,"1,005"
Cairo,"1,003"
Colin,"1,001"
Joaquin,997
Ezequiel,988
Karson,984
Callan,983
Briggs,982
Khalil,979
Wade,971
Jared,968
Fernando,967
Ari,964
Colson,948
Kylian,948
Archie,940
Banks,938
Bowen,934
Kade,933
Daxton,928
Jaden,927
Rhys,924
Sonny,924
Zander,924
Eduardo,920
Iker,915
Sullivan,914
Bradley,904
Raymond,900
Odin,897
Spencer,897
Stephen,892
Prince,885
Brantley,884
Killian,883
Kamari,882
Cesar,879
Dariel,877
Eithan,874
Mathias,874
Ricardo,873
Orion,861
Titus,858
Luciano,855
Rylan,852
Pablo,850
Chance,847
Travis,840
Kohen,837
Marco,833
Jay,831
Malik,831
Hector,828
Edwin,824
Armani,822
Bodie,822
Shiloh,815
Marshall,813
Remy,813
Russell,813
Baylor,812
Kameron,812
Tyson,807
Grady,800
Oakley,799
Baker,798
Winston,797
Kane,792
Julius,791
Desmond,789
Royal,789
Sterling,789
Mario,787
Kylo,786
Sergio,782
Jake,781
Kashton,781
Shepherd,779
Franklin,776
Ibrahim,774
Ares,772
Koda,771
Lawson,768
Hugo,765
Kyle,754
Kyson,754
Kobe,753
Pedro,753
Santino,752
Wilder,752
Sage,750
Raiden,747
Damon,742
Nasir,739
Sean,739
Forrest,737
Kian,732
Reed,724
Tanner,720
Jalen,719
Apollo,717
Zayne,717
Nehemiah,716
Edgar,714
Johnny,711
Clark,707
Eden,706
Gunner,705
Isaias,700
Esteban,698
Hank,697
Alijah,696
Solomon,696
Wells,696
Sutton,695
Royce,694
Callen,686
Reece,686
Gianni,685
Noel,685
Quinn,685
Raphael,680
Corbin,675
Erik,675
Tripp,671
Atreus,670
Francis,670
Kayce,666
Callahan,662
Devin,662
Troy,662
Sylas,657
Fabian,656
Zaire,654
Donovan,649
Johnathan,647
Frank,646
Lewis,645
Moshe,644
Adan,643
Alexis,641
Tadeo,640
Ronin,638
Marcos,637
Kieran,634
Leonidas,634
Bo,630
Kendrick,630
Ruben,627
Camilo,626
Garrett,624
Matthias,623
Emanuel,620
Jeffrey,617
Collin,613
Lucian,611
Augustus,610
Memphis,610
Rowen,610
Yusuf,610
Finnegan,608
Makai,608
Lionel,607
Caiden,606
Rodrigo,606
Uriel,606
Lucca,605
Philip,605
Andy,603
Olivia,"15,270"
Emma,"13,527"
Charlotte,"12,596"
Amelia,"12,311"
Sophia,"11,944"
Mia,"11,359"
Isabella,"10,808"
Ava,"9,682"
Evelyn,"9,082"
Luna,"7,811"
Harper,"7,769"
Sofia,"7,641"
Camila,"7,565"
Eleanor,"6,739"
Elizabeth,"6,566"
Violet,"6,342"
Scarlett,"6,288"
Emily,"6,154"
Hazel,"6,154"
Lily,"6,146"
Gianna,"6,129"
Aurora,"6,054"
Penelope,"6,041"
Aria,"5,996"
Nora,"5,994"
Chloe,"5,960"
Ellie,"5,951"
Mila,"5,895"
Avery,"5,859"
Layla,"5,678"
Abigail,"5,661"
Ella,"5,643"
Isla,"5,357"
Eliana,"5,329"
Nova,"5,248"
Madison,"5,160"
Zoe,"5,160"
Ivy,"5,036"
Grace,"4,886"
Lucy,"4,858"
Willow,"4,727"
Emilia,"4,670"
Riley,"4,617"
Naomi,"4,456"
Victoria,"4,434"
Stella,"4,357"
Elena,"4,261"
Hannah,"4,102"
Valentina,"4,075"
Maya,"4,067"
Zoey,"4,040"
Delilah,"4,031"
Leah,"3,953"
Lainey,"3,928"
Lillian,"3,927"
Paisley,"3,727"
Genesis,"3,651"
Madelyn,"3,632"
Sadie,"3,586"
Sophie,"3,578"
Leilani,"3,543"
Addison,"3,520"
Natalie,"3,418"
Josephine,"3,347"
Alice,"3,336"
Ruby,"3,333"
