Team,Name,Number
Atlanta Hawks,Bill Russell,6
Atlanta Hawks,Bob Pettit,9
Atlanta Hawks,Dominique Wilkins,21
Atlanta Hawks,Lou Hudson,23
Atlanta Hawks,Jason Collier,40
Atlanta Hawks,Pete Maravich,44
Atlanta Hawks,Dikeme Mutombo,55
Boston Celtics,Robert Parish,0
Boston Celtics,Walter Brown,1
Boston Celtics,‘Red’ Auerbach,2
Boston Celtics,Dennis Johnson,3
Boston Celtics,Kevin Garnett,5
Boston Celtics,Bill Russell,6
Boston Celtics,Jo Jo White,10
Boston Celtics,Bob Cousy,14
Boston Celtics,Tom Heinsohn,15
Boston Celtics,Tom Sanders,16
Boston Celtics,John Havlicek,17
Boston Celtics,Dave Cowens,18
Boston Celtics,Don Nelson,19
Boston Celtics,Bill Sharman,21
Boston Celtics,Ed Macauley,22
Boston Celtics,Frank Ramsey,23
Boston Celtics,Sam Jones,24
Boston Celtics,K.C. Jones,25
Boston Celtics,Cedric Maxwell,31
Boston Celtics,Kevin McHale,32
Boston Celtics,Larry Bird,33
Boston Celtics,Paul Pierce,34
Boston Celtics,Reggie Lewis,35
Brooklyn Nets,Drazen Petrovic,3
Brooklyn Nets,Jason Kidd,5
Brooklyn Nets,Bill Russell,6
Brooklyn Nets,John Williamson,23
Brooklyn Nets,Bill Melchionni,25
Brooklyn Nets,Julis Erving,32
Brooklyn Nets,Buck Williams,52
Charlotte Hornets,Bill Russell,6
Charlotte Hornets,Bobby Phills,13
Chicago Bulls,Jerry Sloan,4
Chicago Bulls,Bill Russell,6
Chicago Bulls,Bob Love,10
Chicago Bulls,Michael Jordan,23
Chicago Bulls,Scottie Pippen,33
Chicago Bulls,Derrick Rose,1
Cleveland Cavaliers,Bill Russell,6
Cleveland Cavaliers,Bingo Smith,7
Cleveland Cavaliers,Zyndrunas Ilgauskas,11
Cleveland Cavaliers,Larry Nance,22
Cleveland Cavaliers,Mark Price,25
Cleveland Cavaliers,Austin Carr,34
Cleveland Cavaliers,Nate Thurmond,42
Cleveland Cavaliers,Brad Daugherty,43
Dallas Mavericks,Bill Russell,6
Dallas Mavericks,Derek Harpet,12
Dallas Mavericks,Brad Davis,15
Dallas Mavericks,Rolando Blackman,22
Dallas Mavericks,Dirk Nowitzki,41
Denver Nuggets,Alex English,2
Denver Nuggets,Bill Russell,6
Denver Nuggets,Fat Lever,12
Denver Nuggets,David Thompson,33
Denver Nuggets,Byron Beck,40
Denver Nuggets,Dan Issel,44
Denver Nuggets,Dikembe Mutombo,55
Detroit Pistons,Chauncey Billups,1
Detroit Pistons,Chuck Daly,2
Detroit Pistons,Ben Wallace,3
